[GIN] 2019/07/27 - 18:12:17 | 200 |      190.89µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:12:31 | 200 |    1.727711ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:12:31 | 200 |     155.566µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:12:38 | 200 |    2.604884ms |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:12:38 | 304 |     243.526µs |       127.0.0.1 | GET      /static/css/style.css
[GIN] 2019/07/27 - 18:12:39 | 200 |     182.309µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:12:40 | 200 |     560.667µs |       127.0.0.1 | POST     /login
[GIN] 2019/07/27 - 18:12:40 | 200 |    3.249944ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:12:41 | 200 |    2.848567ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:42 | 200 |     864.595µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:42 | 200 |    1.940691ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:12:43 | 200 |    2.604458ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:12:43 | 200 |    2.586253ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:12:44 | 200 |    1.724104ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:44 | 200 |    1.281415ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:46 | 200 |    2.074686ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:12:47 | 200 |    2.567096ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:47 | 200 |    2.920237ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:48 | 200 |    3.129215ms |       127.0.0.1 | GET      /task/add
[GIN] 2019/07/27 - 18:12:49 | 200 |    1.886247ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:49 | 200 |     971.251µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:50 | 200 |    2.953444ms |       127.0.0.1 | GET      /task/detail?id=41
[GIN] 2019/07/27 - 18:12:51 | 200 |    1.497239ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:12:51 | 304 |     195.443µs |       127.0.0.1 | GET      /static/images/avatar.jpg
[GIN] 2019/07/27 - 18:12:52 | 200 |     3.73163ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:12:53 | 200 |    2.602046ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:53 | 200 |      986.87µs |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:54 | 200 |    2.526606ms |       127.0.0.1 | GET      /task/detail?id=41
[GIN] 2019/07/27 - 18:12:55 | 200 |    2.526715ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:12:55 | 200 |    1.055594ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:12:56 | 200 |    2.703841ms |       127.0.0.1 | GET      /task/add
[GIN] 2019/07/27 - 18:12:57 | 200 |    1.658369ms |       127.0.0.1 | GET      /plugs
[GIN] 2019/07/27 - 18:13:00 | 200 |    3.284958ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:13:29 | 200 |    3.945791ms |       127.0.0.1 | POST     /post/setting/checkSetting
[GIN] 2019/07/27 - 18:13:31 | 200 |    2.756706ms |       127.0.0.1 | GET      /setting
[GIN] 2019/07/27 - 18:13:31 | 200 |     215.617µs |       127.0.0.1 | GET      /static/favicon.ico
[GIN] 2019/07/27 - 18:13:33 | 200 |    4.232286ms |       127.0.0.1 | GET      /
[GIN] 2019/07/27 - 18:13:34 | 200 |    2.980647ms |       127.0.0.1 | GET      /
[GIN] 2019/07/27 - 18:13:35 | 200 |    3.055953ms |       127.0.0.1 | GET      /task
[GIN] 2019/07/27 - 18:13:36 | 200 |    1.304798ms |       127.0.0.1 | GET      /get/task/list
[GIN] 2019/07/27 - 18:13:36 | 200 |    4.102841ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:38 | 302 |       39.35µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:38 | 302 |     454.727µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:38 | 200 |    3.512878ms |       127.0.0.1 | GET      /dashboard
[GIN] 2019/07/27 - 18:13:41 | 302 |      31.997µs |       127.0.0.1 | GET      /logout
[GIN] 2019/07/27 - 18:13:41 | 302 |     884.016µs |       127.0.0.1 | GET      /login
[GIN] 2019/07/27 - 18:13:41 | 200 |     3.08515ms |       127.0.0.1 | GET      /dashboard
